loan_amnt,term,int_rate,installment,grade,emp_length,home_ownership,annual_inc,verification_status,purpose,dti,delinq_2yrs,fico_range_low,revol_util,loan_status
9900,36 months,11.72,327.5,C,9 years,RENT,16500,Not Verified,car,15.89,0,717,53.5,Charged Off
12700,60 months,18.81,328.12,E,10+ years,RENT,39800,Source Verified,small_business,16.33,0,667,43.5,Fully Paid
16000,36 months,20.53,598.95,E,8 years,RENT,124600,Source Verified,debt_consolidation,31.15,0,698,59.4,Fully Paid
40000,36 months,21.85,1524.52,E,< 1 year,RENT,90400,Not Verified,debt_consolidation,15.15,0,663,14.8,Fully Paid
4700,60 months,12.8,106.46,C,9 years,MORTGAGE,63300,Not Verified,car,18.49,0,693,35.2,Fully Paid
13900,36 months,11.39,457.64,B,10+ years,RENT,76600,Not Verified,debt_consolidation,11.07,0,704,50.6,Fully Paid
4800,36 months,16.06,168.9,C,10+ years,RENT,61300,Verified,debt_consolidation,13.63,0,718,46.1,Fully Paid
9700,36 months,17.03,345.98,E,2 years,OWN,44300,Not Verified,car,25.96,1,661,18.5,Charged Off
20200,60 months,15.96,490.8,D,,OWN,44700,Verified,debt_consolidation,14.4,0,677,55.4,Fully Paid
9400,36 months,13.72,319.99,C,10+ years,RENT,70200,Not Verified,credit_card,11.75,0,698,85.2,Fully Paid
17500,36 months,12.66,586.78,C,7 years,MORTGAGE,49100,Not Verified,debt_consolidation,11.12,1,712,46.2,Charged Off
22200,36 months,14.25,761.44,C,1 year,RENT,54200,Source Verified,debt_consolidation,9.97,0,691,40.7,Fully Paid
24800,60 months,12.96,563.77,C,9 years,MORTGAGE,34300,Source Verified,home_improvement,19.66,0,699,33.4,Fully Paid
6200,36 months,8.8,196.58,B,10+ years,RENT,32700,Source Verified,debt_consolidation,23.95,1,731,48.5,Fully Paid
8900,36 months,16.32,314.31,D,3 years,MORTGAGE,79300,Not Verified,credit_card,17.66,0,669,34.8,Fully Paid
25000,36 months,23.2,970.35,F,6 years,RENT,51200,Source Verified,credit_card,9.33,0,651,47.4,Fully Paid
5700,60 months,12.88,129.34,C,9 years,OWN,17900,Verified,home_improvement,32.12,1,709,26.7,Fully Paid
10500,60 months,10.79,227.2,B,2 years,MORTGAGE,65400,Not Verified,debt_consolidation,10.61,0,694,87.8,Fully Paid
11700,36 months,7.63,364.64,A,5 years,MORTGAGE,90300,Not Verified,debt_consolidation,19.25,0,727,44.4,Fully Paid
13400,36 months,16.12,471.9,D,3 years,MORTGAGE,66500,Not Verified,credit_card,7.65,0,680,59.4,Fully Paid
6000,36 months,9.39,191.89,B,10+ years,MORTGAGE,78000,Source Verified,debt_consolidation,20.08,0,710,37.0,Charged Off
9000,36 months,14.0,307.6,C,10+ years,MORTGAGE,44100,Not Verified,debt_consolidation,14.99,0,702,33.9,Fully Paid
20500,60 months,19.67,539.37,E,4 years,MORTGAGE,220100,Verified,debt_consolidation,15.46,0,668,54.8,Charged Off
4600,36 months,7.88,143.89,A,3 years,MORTGAGE,41400,Not Verified,major_purchase,8.03,0,736,87.4,Fully Paid
11600,60 months,20.27,309.07,E,10+ years,RENT,40100,Verified,credit_card,21.34,0,649,79.3,Charged Off
8400,36 months,14.51,289.18,C,10+ years,MORTGAGE,57300,Source Verified,credit_card,12.72,0,709,42.3,Fully Paid
20700,36 months,9.63,664.34,B,7 years,RENT,99400,Not Verified,debt_consolidation,17.93,0,700,62.0,Fully Paid
10600,36 months,8.05,332.41,A,10+ years,RENT,29900,Source Verified,debt_consolidation,8.66,0,766,18.6,Fully Paid
14800,36 months,13.65,503.32,C,3 years,MORTGAGE,260400,Verified,credit_card,20.53,0,706,56.4,Fully Paid
7400,60 months,14.54,174.26,D,1 year,RENT,39200,Verified,debt_consolidation,12.7,0,683,83.6,Charged Off
23100,36 months,12.42,771.89,B,10+ years,RENT,82800,Not Verified,debt_consolidation,28.8,2,722,69.1,Fully Paid
14400,36 months,19.97,534.94,E,5 years,MORTGAGE,105500,Not Verified,debt_consolidation,10.57,0,663,49.7,Fully Paid
27200,36 months,9.67,873.46,B,1 year,RENT,165400,Not Verified,debt_consolidation,41.08,0,689,38.5,Charged Off
10300,36 months,10.15,333.08,B,6 years,MORTGAGE,48500,Verified,medical,22.08,0,721,56.8,Fully Paid
5100,36 months,10.94,166.82,B,3 years,MORTGAGE,38400,Not Verified,debt_consolidation,13.7,0,712,41.7,Fully Paid
10000,60 months,15.03,238.06,D,10+ years,MORTGAGE,25700,Source Verified,debt_consolidation,16.04,1,679,29.4,Fully Paid
14900,36 months,13.84,508.09,D,2 years,RENT,109500,Not Verified,credit_card,22.26,1,689,69.0,Fully Paid
9700,60 months,9.8,205.14,B,5 years,RENT,48800,Verified,debt_consolidation,13.02,0,724,46.8,Fully Paid
8900,36 months,10.6,289.69,B,4 years,MORTGAGE,101100,Source Verified,credit_card,16.9,0,726,61.7,Fully Paid
20800,60 months,18.5,533.86,E,8 years,MORTGAGE,197700,Source Verified,debt_consolidation,14.63,1,678,48.3,Fully Paid
14000,60 months,6.97,277.02,A,< 1 year,RENT,66200,Not Verified,debt_consolidation,25.18,0,728,34.6,Fully Paid
14400,36 months,11.08,471.98,C,4 years,RENT,34500,Verified,debt_consolidation,28.52,0,707,26.9,Fully Paid
9000,36 months,10.82,293.88,B,4 years,RENT,93400,Verified,debt_consolidation,35.62,3,721,40.5,Charged Off
35200,60 months,7.82,710.7,A,9 years,RENT,43900,Not Verified,home_improvement,12.16,1,741,38.3,Fully Paid
13300,36 months,15.05,461.37,D,10+ years,RENT,57700,Verified,debt_consolidation,24.5,0,693,23.4,Fully Paid
14700,60 months,5.62,281.6,A,3 years,RENT,77900,Source Verified,credit_card,27.36,0,717,30.5,Charged Off
4700,36 months,19.25,172.88,D,10+ years,RENT,65900,Verified,debt_consolidation,28.57,2,674,16.6,Charged Off
11700,36 months,9.25,373.42,B,10+ years,RENT,42600,Verified,debt_consolidation,12.32,1,704,72.5,Fully Paid
7900,36 months,12.62,264.74,C,4 years,RENT,103900,Verified,debt_consolidation,17.14,0,700,46.0,Fully Paid
29500,36 months,8.01,924.56,B,10+ years,MORTGAGE,178500,Not Verified,debt_consolidation,37.48,0,726,51.6,Fully Paid
6500,36 months,15.55,227.08,D,10+ years,MORTGAGE,78500,Source Verified,debt_consolidation,15.41,0,673,52.7,Fully Paid
7100,36 months,15.13,246.58,C,,RENT,56400,Verified,credit_card,8.16,0,715,56.1,Fully Paid
7600,36 months,23.79,297.33,F,10+ years,RENT,57500,Source Verified,credit_card,14.81,0,654,76.7,Fully Paid
10800,36 months,19.87,400.65,E,10+ years,OWN,56800,Verified,debt_consolidation,9.86,0,653,62.0,Fully Paid
10100,36 months,17.88,364.53,D,5 years,MORTGAGE,43100,Source Verified,debt_consolidation,22.16,0,690,72.9,Fully Paid
26000,36 months,11.5,857.38,B,10+ years,MORTGAGE,48400,Verified,debt_consolidation,29.59,0,711,56.0,Charged Off
11300,36 months,11.06,370.27,B,10+ years,MORTGAGE,71700,Verified,debt_consolidation,16.91,1,703,40.8,Fully Paid
22600,36 months,17.3,809.13,D,< 1 year,RENT,69300,Verified,other,27.25,0,702,57.1,Fully Paid
18500,60 months,10.54,398.0,B,7 years,OWN,42300,Not Verified,debt_consolidation,26.27,0,720,58.0,Fully Paid
11700,36 months,7.77,365.4,A,5 years,RENT,248900,Source Verified,credit_card,13.09,0,758,32.5,Fully Paid
19600,36 months,13.54,665.51,C,4 years,RENT,81600,Not Verified,debt_consolidation,16.86,0,709,64.8,Fully Paid
14500,36 months,14.05,495.93,C,< 1 year,MORTGAGE,29400,Not Verified,debt_consolidation,13.59,0,708,37.8,Fully Paid
15500,36 months,13.53,526.22,C,5 years,MORTGAGE,86400,Verified,debt_consolidation,18.56,0,715,47.8,Fully Paid
12600,36 months,5.92,382.86,A,4 years,RENT,102000,Source Verified,home_improvement,12.96,0,737,62.7,Fully Paid
4600,36 months,12.08,152.96,C,10+ years,MORTGAGE,216900,Not Verified,credit_card,13.37,0,704,79.7,Fully Paid
13500,36 months,13.89,460.68,C,10+ years,RENT,32400,Verified,home_improvement,18.52,0,714,41.1,Fully Paid
17100,36 months,10.18,553.22,B,,RENT,159200,Verified,debt_consolidation,6.59,2,724,81.4,Fully Paid
9200,36 months,16.55,325.95,D,6 years,OWN,39900,Verified,debt_consolidation,17.86,0,670,18.3,Fully Paid
15000,36 months,14.72,517.93,C,10+ years,OWN,112000,Not Verified,debt_consolidation,21.27,1,693,59.0,Fully Paid
20700,60 months,6.32,403.28,A,1 year,RENT,25200,Verified,debt_consolidation,20.96,1,729,28.9,Fully Paid
11300,60 months,14.01,262.99,C,4 years,RENT,112800,Not Verified,debt_consolidation,16.0,1,691,48.1,Fully Paid
8900,60 months,8.01,180.5,A,4 years,MORTGAGE,183400,Not Verified,credit_card,8.91,0,744,36.4,Fully Paid
8400,36 months,18.81,307.1,D,3 years,MORTGAGE,58000,Source Verified,debt_consolidation,19.93,1,677,32.5,Fully Paid
11100,60 months,21.1,300.92,E,2 years,RENT,62700,Not Verified,debt_consolidation,22.78,0,669,64.2,Fully Paid
20500,36 months,10.88,669.98,B,3 years,RENT,45600,Source Verified,debt_consolidation,18.28,1,721,6.4,Fully Paid
4100,36 months,17.45,147.1,D,10+ years,RENT,41500,Source Verified,debt_consolidation,13.02,1,702,53.9,Fully Paid
25500,36 months,15.42,889.22,C,2 years,RENT,119500,Source Verified,credit_card,26.2,0,703,62.6,Fully Paid
13900,36 months,21.95,530.49,E,1 year,MORTGAGE,175900,Verified,debt_consolidation,12.64,1,655,60.4,Fully Paid
14800,60 months,16.3,362.27,D,,MORTGAGE,53500,Not Verified,debt_consolidation,19.08,0,688,21.1,Fully Paid
9900,60 months,11.69,218.67,B,1 year,MORTGAGE,51000,Source Verified,credit_card,31.33,0,712,67.2,Fully Paid
16300,36 months,15.56,569.53,D,10+ years,MORTGAGE,56000,Not Verified,home_improvement,13.77,0,692,33.9,Fully Paid
15800,36 months,8.78,500.82,B,10+ years,RENT,41500,Source Verified,debt_consolidation,17.81,2,707,21.6,Fully Paid
24200,60 months,12.01,538.44,C,10+ years,MORTGAGE,124200,Source Verified,debt_consolidation,27.61,0,713,47.8,Charged Off
32900,36 months,12.63,1102.68,C,2 years,MORTGAGE,75100,Verified,home_improvement,19.79,0,696,41.2,Fully Paid
9500,60 months,15.63,229.16,C,10+ years,RENT,57100,Not Verified,credit_card,26.67,0,687,66.2,Charged Off
9800,36 months,10.84,320.1,B,1 year,RENT,59600,Not Verified,debt_consolidation,34.35,0,721,44.2,Fully Paid
10600,36 months,13.43,359.36,C,10+ years,MORTGAGE,143500,Verified,debt_consolidation,10.47,0,695,21.9,Fully Paid
10800,36 months,14.5,371.75,C,7 years,MORTGAGE,100300,Not Verified,debt_consolidation,19.02,0,711,35.7,Fully Paid
8700,36 months,6.69,267.4,A,5 years,MORTGAGE,66900,Verified,credit_card,6.71,1,759,62.7,Fully Paid
10600,36 months,18.76,387.27,D,4 years,MORTGAGE,25700,Not Verified,debt_consolidation,2.63,0,677,74.2,Fully Paid
11200,60 months,23.28,317.54,E,6 years,MORTGAGE,40600,Verified,debt_consolidation,12.07,1,681,15.1,Charged Off
10500,36 months,11.53,346.4,B,10+ years,MORTGAGE,41300,Not Verified,credit_card,26.8,1,725,83.7,Fully Paid
18900,36 months,14.75,652.86,C,10+ years,RENT,132200,Source Verified,credit_card,22.08,1,705,26.3,Fully Paid
16100,60 months,17.07,400.73,D,7 years,MORTGAGE,47900,Not Verified,small_business,27.75,0,690,14.1,Fully Paid
9800,60 months,10.83,212.25,B,10+ years,MORTGAGE,50400,Not Verified,home_improvement,14.37,0,728,63.4,Charged Off
11800,36 months,14.39,405.53,C,6 years,RENT,253900,Verified,debt_consolidation,25.46,0,717,38.3,Charged Off
12900,36 months,14.52,444.16,C,7 years,OWN,84300,Not Verified,debt_consolidation,15.36,0,683,46.1,Fully Paid
10800,60 months,7.03,214.01,A,5 years,MORTGAGE,37400,Source Verified,debt_consolidation,11.96,1,769,85.0,Fully Paid
22000,60 months,13.71,508.6,C,3 years,MORTGAGE,73300,Source Verified,debt_consolidation,18.55,0,701,51.0,Fully Paid
14500,36 months,9.83,466.72,B,1 year,RENT,28000,Verified,debt_consolidation,13.68,0,728,59.6,Fully Paid
14900,36 months,14.28,511.28,C,1 year,MORTGAGE,58400,Source Verified,home_improvement,8.08,0,715,43.1,Fully Paid
3800,36 months,11.16,124.7,B,10+ years,MORTGAGE,53200,Not Verified,debt_consolidation,21.53,1,716,79.5,Charged Off
12200,60 months,6.56,239.05,A,6 years,MORTGAGE,31600,Not Verified,debt_consolidation,7.5,0,738,56.2,Fully Paid
17800,36 months,5.53,537.73,A,5 years,MORTGAGE,92100,Source Verified,car,22.14,0,737,17.2,Fully Paid
11800,60 months,13.41,270.97,C,3 years,MORTGAGE,80500,Source Verified,other,26.18,2,711,39.1,Fully Paid
14900,36 months,9.65,478.34,B,3 years,RENT,49700,Not Verified,debt_consolidation,24.84,0,702,35.9,Fully Paid
9600,36 months,6.56,294.49,A,1 year,RENT,74800,Source Verified,debt_consolidation,11.72,0,737,32.2,Fully Paid
5000,36 months,13.49,169.65,C,1 year,MORTGAGE,69100,Verified,debt_consolidation,12.91,0,694,57.0,Fully Paid
4400,60 months,15.85,106.65,D,5 years,MORTGAGE,133200,Verified,debt_consolidation,9.63,1,694,25.4,Fully Paid
11500,60 months,12.22,257.09,C,10+ years,OWN,68400,Source Verified,debt_consolidation,10.0,0,684,57.2,Fully Paid
21200,36 months,14.05,725.08,D,7 years,MORTGAGE,41200,Verified,other,9.67,0,691,70.3,Fully Paid
13100,36 months,13.24,442.91,C,< 1 year,RENT,16400,Not Verified,debt_consolidation,8.11,0,708,20.4,Fully Paid
16300,36 months,15.82,571.61,C,10+ years,MORTGAGE,61200,Source Verified,debt_consolidation,7.03,0,712,26.5,Fully Paid
11600,60 months,13.25,265.42,C,10+ years,MORTGAGE,60800,Not Verified,credit_card,22.8,0,691,34.1,Fully Paid
20400,36 months,29.84,864.23,G,2 years,RENT,66400,Not Verified,major_purchase,14.74,0,673,65.0,Charged Off
17200,36 months,10.38,558.07,B,9 years,RENT,36800,Not Verified,debt_consolidation,10.5,0,717,19.4,Fully Paid
5700,36 months,6.94,175.84,A,< 1 year,MORTGAGE,82800,Source Verified,debt_consolidation,31.57,0,729,42.4,Fully Paid
6800,36 months,30.0,288.67,G,5 years,MORTGAGE,195400,Verified,medical,19.29,0,689,43.5,Fully Paid
11900,60 months,14.14,277.76,C,10+ years,RENT,39200,Verified,debt_consolidation,12.05,0,691,71.6,Fully Paid
20500,36 months,14.54,706.03,C,5 years,RENT,186700,Not Verified,major_purchase,9.72,0,710,12.1,Fully Paid
5600,36 months,13.37,189.69,D,3 years,MORTGAGE,56200,Not Verified,debt_consolidation,20.2,1,686,16.3,Fully Paid
9100,60 months,9.94,193.08,B,7 years,MORTGAGE,37400,Not Verified,debt_consolidation,8.06,0,716,17.2,Fully Paid
17800,60 months,12.37,399.29,C,8 years,MORTGAGE,133000,Not Verified,credit_card,24.37,0,710,27.4,Fully Paid
11800,36 months,7.31,366.02,A,9 years,MORTGAGE,48700,Not Verified,credit_card,28.48,0,764,69.6,Fully Paid
7500,60 months,11.39,164.53,C,< 1 year,RENT,83000,Verified,credit_card,8.71,0,714,69.5,Fully Paid
14400,60 months,11.31,315.32,B,3 years,MORTGAGE,70900,Not Verified,other,14.54,3,694,20.5,Fully Paid
12500,36 months,6.61,383.74,A,5 years,RENT,138100,Not Verified,debt_consolidation,14.68,0,726,82.5,Fully Paid
19600,60 months,7.33,391.16,A,3 years,MORTGAGE,87700,Verified,credit_card,25.97,0,752,,Fully Paid
8600,36 months,14.0,293.93,C,10+ years,MORTGAGE,98100,Not Verified,debt_consolidation,23.29,0,689,46.1,Fully Paid
13800,60 months,18.56,354.65,E,10+ years,RENT,218000,Verified,debt_consolidation,16.2,0,659,78.1,Fully Paid
21600,36 months,18.61,787.52,D,2 years,RENT,38300,Not Verified,debt_consolidation,8.71,0,672,41.2,Fully Paid
13200,36 months,7.2,408.79,A,10+ years,MORTGAGE,40100,Verified,debt_consolidation,9.69,0,757,47.5,Fully Paid
11100,36 months,10.84,362.56,C,10+ years,RENT,58600,Verified,home_improvement,22.8,1,686,57.0,Fully Paid
40000,60 months,13.99,930.52,C,10+ years,RENT,60400,Verified,debt_consolidation,25.61,1,710,56.9,Fully Paid
13000,60 months,10.8,281.36,B,7 years,RENT,221600,Not Verified,home_improvement,21.79,0,705,71.1,Fully Paid
5800,36 months,14.77,200.41,C,1 year,MORTGAGE,114100,Verified,credit_card,10.3,0,720,82.6,Charged Off
40000,36 months,11.03,1310.12,B,2 years,MORTGAGE,50800,Not Verified,debt_consolidation,10.52,0,726,35.7,Fully Paid
15500,60 months,5.71,297.57,A,< 1 year,MORTGAGE,103700,Source Verified,credit_card,25.28,0,740,38.9,Fully Paid
4500,36 months,11.65,148.71,C,10+ years,MORTGAGE,114700,Source Verified,debt_consolidation,16.74,1,697,65.4,Charged Off
28700,36 months,19.3,1056.39,E,4 years,MORTGAGE,109300,Source Verified,other,27.19,1,670,,Charged Off
10100,60 months,16.84,250.14,D,2 years,MORTGAGE,211200,Verified,debt_consolidation,44.52,0,683,59.0,Charged Off
11900,36 months,17.32,426.17,D,6 years,MORTGAGE,91000,Not Verified,home_improvement,18.58,0,692,17.3,Fully Paid
6100,36 months,6.13,185.93,A,10+ years,RENT,77800,Source Verified,home_improvement,32.22,0,753,48.9,Charged Off
16700,36 months,13.85,569.55,C,9 years,RENT,24600,Verified,debt_consolidation,20.27,0,718,43.4,Fully Paid
11900,36 months,9.36,380.41,B,2 years,MORTGAGE,63100,Not Verified,debt_consolidation,27.61,0,720,61.1,Fully Paid
9900,60 months,7.3,197.44,A,10+ years,MORTGAGE,86700,Verified,debt_consolidation,22.22,0,747,52.9,Fully Paid
21800,60 months,21.21,592.34,E,10+ years,RENT,203300,Source Verified,credit_card,11.83,1,659,42.4,Fully Paid
24200,60 months,8.88,500.94,B,7 years,RENT,67100,Not Verified,credit_card,16.8,0,735,91.9,Fully Paid
21700,60 months,11.28,474.85,B,3 years,MORTGAGE,52600,Not Verified,debt_consolidation,9.16,0,740,39.5,Charged Off
10100,36 months,12.2,336.43,C,6 years,MORTGAGE,115700,Source Verified,credit_card,12.96,0,691,41.8,Fully Paid
8600,36 months,7.07,265.82,A,3 years,MORTGAGE,64400,Source Verified,debt_consolidation,17.02,1,758,55.9,Fully Paid
5900,36 months,7.4,183.26,A,1 year,MORTGAGE,39600,Not Verified,major_purchase,17.1,0,746,48.8,Fully Paid
8300,36 months,15.44,289.51,D,10+ years,RENT,44600,Not Verified,debt_consolidation,32.81,1,676,73.2,Charged Off
5600,60 months,17.15,139.63,D,10+ years,MORTGAGE,39000,Source Verified,small_business,24.87,0,693,56.3,Fully Paid
5700,60 months,10.98,123.87,B,10+ years,MORTGAGE,50300,Not Verified,debt_consolidation,12.73,0,716,51.6,Fully Paid
12700,36 months,22.62,489.1,E,10+ years,OWN,72100,Source Verified,debt_consolidation,31.65,0,664,56.8,Charged Off
14600,36 months,6.85,449.8,A,< 1 year,RENT,70000,Source Verified,debt_consolidation,22.69,0,739,57.5,Fully Paid
31500,36 months,9.42,1007.86,B,< 1 year,MORTGAGE,24000,Source Verified,home_improvement,10.28,1,722,55.5,Fully Paid
7600,36 months,8.04,238.3,B,5 years,MORTGAGE,124200,Verified,credit_card,11.69,0,739,59.2,Fully Paid
16400,36 months,19.35,604.06,E,1 year,MORTGAGE,104600,Verified,credit_card,23.29,2,677,27.3,Fully Paid
4000,60 months,7.48,80.11,A,10+ years,MORTGAGE,53500,Verified,debt_consolidation,17.11,0,761,88.5,Fully Paid
17000,36 months,11.33,559.22,C,10+ years,MORTGAGE,31600,Verified,car,23.94,0,702,26.3,Fully Paid
10000,36 months,9.35,319.63,B,< 1 year,MORTGAGE,105800,Verified,debt_consolidation,18.09,0,718,40.1,Fully Paid
11100,60 months,14.19,259.37,D,1 year,MORTGAGE,215900,Not Verified,debt_consolidation,20.06,0,696,43.5,Fully Paid
9300,36 months,6.68,285.8,A,4 years,OWN,45200,Source Verified,debt_consolidation,20.47,0,732,27.6,Fully Paid
19100,36 months,14.3,655.58,C,3 years,OWN,33100,Not Verified,debt_consolidation,5.93,0,697,54.8,Fully Paid
10400,36 months,14.68,358.89,C,10+ years,MORTGAGE,56900,Verified,debt_consolidation,17.56,1,711,38.5,Fully Paid
9700,36 months,10.01,313.04,B,1 year,RENT,22100,Not Verified,home_improvement,29.28,1,737,51.9,Charged Off
