loan_amnt,term,int_rate,installment,grade,emp_length,home_ownership,annual_inc,verification_status,purpose,dti,delinq_2yrs,fico_range_low,revol_util,loan_status
21100,60 months,18.25,538.68,D,2 years,RENT,93200,Not Verified,credit_card,28.12,1,704,56.1,Fully Paid
20700,60 months,6.74,407.35,A,10+ years,MORTGAGE,29300,Verified,home_improvement,25.4,0,738,44.1,Charged Off
15800,36 months,18.79,577.49,E,1 year,RENT,84200,Verified,home_improvement,17.27,0,658,20.6,Fully Paid
12800,60 months,17.74,323.23,D,6 years,RENT,112300,Verified,medical,11.22,1,692,51.3,Fully Paid
16500,36 months,5.98,501.81,A,,RENT,57400,Not Verified,debt_consolidation,27.3,1,755,43.6,Fully Paid
3900,36 months,6.72,119.92,A,8 years,RENT,36200,Verified,medical,15.2,0,733,35.3,Fully Paid
27400,60 months,7.0,542.55,A,1 year,MORTGAGE,44400,Source Verified,debt_consolidation,21.4,0,748,49.0,Fully Paid
14100,36 months,13.73,480.06,C,10+ years,MORTGAGE,76600,Source Verified,debt_consolidation,32.51,0,694,54.2,Fully Paid
10600,36 months,12.32,353.69,C,< 1 year,MORTGAGE,81700,Not Verified,debt_consolidation,15.94,0,710,37.7,Charged Off
9900,36 months,11.38,325.9,B,9 years,RENT,75400,Not Verified,car,30.57,1,734,45.8,Charged Off
5600,36 months,21.19,211.53,E,5 years,MORTGAGE,84200,Not Verified,credit_card,13.28,0,670,52.8,Charged Off
4700,36 months,24.0,184.39,F,6 years,RENT,55700,Not Verified,debt_consolidation,33.17,0,673,30.9,Charged Off
21100,36 months,15.11,732.58,C,10+ years,MORTGAGE,121200,Source Verified,credit_card,16.5,0,676,78.2,Charged Off
40000,60 months,12.74,904.81,B,2 years,MORTGAGE,23400,Verified,home_improvement,22.37,0,702,74.2,Charged Off
7900,36 months,16.97,281.54,D,10+ years,MORTGAGE,107700,Verified,debt_consolidation,6.21,0,702,38.2,Charged Off
11800,60 months,11.57,259.93,B,4 years,RENT,93600,Source Verified,credit_card,6.83,0,722,49.4,Fully Paid
7500,36 months,22.87,289.81,F,2 years,RENT,73200,Source Verified,credit_card,13.59,0,657,,Charged Off
16200,60 months,6.73,318.72,A,1 year,OTHER,57100,Verified,debt_consolidation,11.1,1,736,73.5,Fully Paid
11100,36 months,20.96,417.97,F,10+ years,MORTGAGE,14600,Not Verified,debt_consolidation,18.8,0,665,28.4,Fully Paid
14200,36 months,10.02,458.33,B,10+ years,RENT,111400,Not Verified,major_purchase,13.67,0,706,89.6,Fully Paid
5600,60 months,9.87,118.63,B,5 years,MORTGAGE,120300,Source Verified,car,8.4,1,699,47.0,Charged Off
16500,36 months,13.65,561.13,C,8 years,MORTGAGE,150400,Source Verified,debt_consolidation,18.84,0,690,55.8,Charged Off
21800,36 months,15.85,764.81,D,5 years,MORTGAGE,69300,Not Verified,major_purchase,21.22,1,683,19.2,Fully Paid
10100,36 months,19.65,373.55,E,9 years,OWN,78200,Source Verified,debt_consolidation,8.11,0,669,58.6,Charged Off
11700,60 months,17.42,293.42,D,10+ years,RENT,35000,Not Verified,credit_card,13.98,0,688,95.3,Charged Off
11200,60 months,16.38,274.63,D,1 year,RENT,99500,Source Verified,debt_consolidation,30.83,0,682,47.2,Charged Off
10800,36 months,16.12,380.34,D,10+ years,MORTGAGE,299800,Not Verified,debt_consolidation,11.74,1,683,64.6,Charged Off
7300,36 months,15.84,256.07,D,3 years,MORTGAGE,104300,Verified,credit_card,44.31,1,675,64.9,Charged Off
20500,60 months,19.67,539.37,E,4 years,MORTGAGE,220100,Verified,debt_consolidation,15.46,0,668,54.8,Charged Off
3400,36 months,15.59,118.85,D,3 years,RENT,78600,Not Verified,debt_consolidation,11.46,0,668,49.6,Fully Paid
9400,36 months,8.42,296.39,B,10+ years,MORTGAGE,57700,Verified,debt_consolidation,22.12,1,710,54.3,Charged Off
26700,36 months,12.85,897.7,C,10+ years,RENT,31800,Verified,debt_consolidation,10.47,1,704,,Fully Paid
9000,36 months,13.75,306.51,C,10+ years,MORTGAGE,115500,Verified,home_improvement,16.23,0,685,75.2,Charged Off
12700,36 months,16.97,452.6,D,8 years,MORTGAGE,60100,Verified,debt_consolidation,13.19,0,708,59.6,Charged Off
16300,36 months,9.42,521.53,B,2 years,MORTGAGE,38900,Source Verified,credit_card,19.14,2,710,69.7,Charged Off
10200,36 months,15.57,356.44,C,,RENT,59300,Not Verified,debt_consolidation,8.23,0,693,25.5,Charged Off
18300,60 months,14.28,428.47,C,10+ years,RENT,139300,Verified,debt_consolidation,22.08,1,684,20.8,Charged Off
35200,60 months,11.44,773.08,B,10+ years,MORTGAGE,15100,Verified,credit_card,31.0,0,714,9.4,Fully Paid
17200,60 months,9.08,357.71,B,5 years,MORTGAGE,92700,Source Verified,debt_consolidation,23.54,0,717,54.6,Fully Paid
4600,36 months,14.16,157.57,D,4 years,OWN,39900,Not Verified,credit_card,17.11,0,673,56.3,Charged Off
12500,36 months,14.52,430.38,C,10+ years,MORTGAGE,33200,Source Verified,other,10.29,0,717,72.3,Fully Paid
25100,60 months,19.76,661.65,D,1 year,MORTGAGE,102800,Source Verified,debt_consolidation,21.91,0,684,85.8,Charged Off
8600,36 months,10.15,278.1,B,10+ years,OWN,42800,Source Verified,debt_consolidation,18.42,0,710,83.9,Charged Off
22500,36 months,13.7,765.72,C,7 years,MORTGAGE,63000,Source Verified,debt_consolidation,12.76,1,702,54.1,Charged Off
40000,60 months,13.99,930.52,C,10+ years,RENT,60400,Verified,debt_consolidation,25.61,1,710,56.9,Fully Paid
20900,36 months,17.39,749.2,E,,RENT,44600,Source Verified,debt_consolidation,25.2,1,664,56.1,Charged Off
13200,36 months,16.39,466.62,D,10+ years,RENT,65400,Not Verified,debt_consolidation,19.37,0,678,40.7,Charged Off
8000,60 months,5.4,152.44,A,5 years,MORTGAGE,37600,Verified,credit_card,3.62,0,733,44.6,Fully Paid
16500,36 months,10.58,536.91,B,10+ years,MORTGAGE,69600,Source Verified,credit_card,31.03,2,723,,Charged Off
7200,36 months,11.99,239.11,C,4 years,RENT,33900,Verified,credit_card,22.21,2,731,72.0,Fully Paid
21100,60 months,14.45,495.9,C,8 years,MORTGAGE,33100,Source Verified,debt_consolidation,28.75,0,699,7.1,Charged Off
6800,60 months,11.18,148.46,B,1 year,RENT,183100,Source Verified,credit_card,9.68,0,728,14.4,Fully Paid
10900,36 months,19.79,403.92,E,8 years,RENT,31600,Verified,debt_consolidation,6.81,0,655,52.4,Charged Off
21100,36 months,7.35,654.89,A,10+ years,RENT,14100,Not Verified,debt_consolidation,13.23,0,736,28.7,Fully Paid
12600,36 months,17.5,452.37,D,4 years,RENT,61300,Source Verified,debt_consolidation,23.67,1,669,44.2,Charged Off
27800,36 months,12.6,931.34,C,9 years,MORTGAGE,12000,Source Verified,debt_consolidation,23.05,0,711,40.6,Charged Off
22500,36 months,14.1,770.09,C,4 years,MORTGAGE,210800,Verified,other,5.38,0,703,65.5,Fully Paid
15100,60 months,13.43,346.9,C,10+ years,RENT,94700,Source Verified,debt_consolidation,11.11,0,694,,Charged Off
13400,36 months,7.29,415.53,A,2 years,MORTGAGE,83600,Source Verified,debt_consolidation,14.4,0,734,44.2,Fully Paid
10600,36 months,22.37,406.85,E,10+ years,RENT,44700,Verified,small_business,14.46,0,667,60.3,Fully Paid
22900,36 months,7.67,714.12,A,10+ years,MORTGAGE,48600,Not Verified,credit_card,34.79,2,735,45.4,Fully Paid
28200,36 months,18.05,1020.21,D,1 year,MORTGAGE,88800,Source Verified,home_improvement,6.92,0,690,31.1,Fully Paid
22200,36 months,18.21,804.92,D,10+ years,MORTGAGE,70400,Not Verified,credit_card,23.89,0,689,70.3,Charged Off
13300,36 months,19.26,489.28,E,7 years,RENT,92200,Verified,credit_card,44.24,0,679,60.4,Fully Paid
16800,60 months,13.67,388.04,C,4 years,MORTGAGE,81400,Verified,debt_consolidation,39.91,0,713,63.1,Charged Off
6100,60 months,15.47,146.63,C,4 years,MORTGAGE,133800,Not Verified,credit_card,22.28,0,691,48.5,Fully Paid
8900,36 months,13.86,303.58,C,8 years,MORTGAGE,83200,Verified,debt_consolidation,49.85,0,697,19.9,Charged Off
9700,36 months,6.27,296.28,A,8 years,MORTGAGE,31800,Source Verified,debt_consolidation,14.35,0,748,41.6,Fully Paid
3200,60 months,12.08,71.31,B,10+ years,OTHER,62800,Not Verified,debt_consolidation,9.65,0,699,12.3,Fully Paid
20300,36 months,15.64,710.09,C,10+ years,RENT,76000,Source Verified,credit_card,45.25,1,713,84.0,Charged Off
8500,36 months,15.06,294.91,C,< 1 year,MORTGAGE,93500,Verified,debt_consolidation,23.37,0,694,27.7,Charged Off
12900,36 months,8.08,404.72,A,5 years,MORTGAGE,55600,Source Verified,other,15.0,0,744,67.1,Fully Paid
38100,36 months,24.25,1499.78,F,8 years,MORTGAGE,174500,Source Verified,debt_consolidation,29.25,0,658,70.1,Charged Off
15000,36 months,7.19,464.46,A,4 years,RENT,76600,Source Verified,debt_consolidation,20.71,0,738,6.2,Fully Paid
7700,36 months,5.86,233.76,A,10+ years,MORTGAGE,81100,Source Verified,debt_consolidation,10.01,0,729,57.4,Fully Paid
8900,36 months,7.33,276.15,A,5 years,MORTGAGE,77300,Verified,debt_consolidation,22.46,0,760,83.8,Charged Off
8800,36 months,13.7,299.48,C,3 years,RENT,45100,Source Verified,debt_consolidation,10.23,1,710,79.4,Charged Off
19000,60 months,11.7,419.77,B,7 years,MORTGAGE,142200,Not Verified,debt_consolidation,31.22,2,714,33.1,Charged Off
8600,36 months,6.26,262.64,A,4 years,RENT,54300,Not Verified,debt_consolidation,14.69,0,743,34.0,Fully Paid
10400,36 months,16.38,367.59,D,10+ years,RENT,26900,Not Verified,debt_consolidation,26.49,0,662,61.5,Charged Off
9300,36 months,13.23,314.39,C,8 years,MORTGAGE,105300,Source Verified,debt_consolidation,20.88,1,702,41.5,Charged Off
20400,36 months,12.19,679.42,C,5 years,MORTGAGE,34300,Source Verified,debt_consolidation,27.84,0,710,39.3,Charged Off
6800,36 months,16.84,241.9,D,5 years,MORTGAGE,54900,Source Verified,credit_card,12.79,0,668,54.6,Fully Paid
8300,36 months,23.78,324.67,F,10+ years,MORTGAGE,48200,Source Verified,medical,26.5,0,663,70.4,Charged Off
17000,36 months,7.96,532.4,A,9 years,MORTGAGE,268500,Not Verified,debt_consolidation,16.34,0,711,42.4,Fully Paid
9600,60 months,18.18,244.72,E,5 years,OWN,89800,Source Verified,credit_card,19.75,0,663,43.4,Fully Paid
10600,36 months,6.84,326.52,A,10+ years,MORTGAGE,18300,Verified,debt_consolidation,11.74,0,752,59.7,Fully Paid
11900,60 months,27.76,368.8,F,10+ years,MORTGAGE,28800,Source Verified,debt_consolidation,20.04,0,669,30.8,Charged Off
12100,36 months,12.02,402.01,B,10+ years,MORTGAGE,128900,Verified,debt_consolidation,22.2,1,724,56.7,Fully Paid
8400,36 months,13.73,285.99,C,6 years,OWN,44800,Verified,credit_card,10.85,0,695,39.1,Fully Paid
5100,36 months,14.28,175.0,D,4 years,RENT,40400,Verified,debt_consolidation,31.01,0,687,46.6,Charged Off
10400,36 months,14.39,357.42,C,10+ years,RENT,57800,Not Verified,major_purchase,17.25,0,697,75.2,Charged Off
26800,60 months,12.97,609.37,C,1 year,MORTGAGE,87800,Source Verified,debt_consolidation,19.47,1,679,75.7,Fully Paid
13100,36 months,6.08,399.0,A,10+ years,RENT,42900,Not Verified,debt_consolidation,6.14,2,741,73.2,Fully Paid
12700,60 months,13.98,295.38,C,10+ years,MORTGAGE,115200,Source Verified,debt_consolidation,10.24,0,691,42.2,Fully Paid
11100,36 months,9.4,355.05,B,10+ years,MORTGAGE,96700,Not Verified,credit_card,28.72,0,730,44.4,Fully Paid
17800,36 months,30.0,755.64,G,10+ years,OWN,55300,Verified,debt_consolidation,44.08,0,675,32.3,Fully Paid
25200,60 months,19.23,656.9,D,,RENT,33000,Not Verified,debt_consolidation,19.94,0,670,34.7,Charged Off
4700,60 months,7.99,95.28,A,10+ years,MORTGAGE,50900,Source Verified,debt_consolidation,22.05,0,755,44.7,Fully Paid
11800,60 months,10.09,251.24,B,10+ years,RENT,73500,Verified,home_improvement,8.65,2,705,43.8,Charged Off
13400,36 months,7.08,414.24,A,,MORTGAGE,32100,Verified,debt_consolidation,13.94,1,745,88.3,Fully Paid
12400,36 months,18.59,451.97,D,10+ years,RENT,86000,Verified,home_improvement,5.31,0,681,75.0,Fully Paid
5600,60 months,17.15,139.63,D,10+ years,MORTGAGE,39000,Source Verified,small_business,24.87,0,693,56.3,Fully Paid
10100,36 months,21.5,383.12,E,5 years,OWN,74900,Source Verified,credit_card,16.14,0,651,26.5,Charged Off
15700,36 months,22.2,601.22,F,1 year,MORTGAGE,77300,Source Verified,debt_consolidation,20.04,0,671,64.3,Charged Off
9200,36 months,11.54,303.55,C,< 1 year,MORTGAGE,58300,Source Verified,debt_consolidation,21.89,0,681,40.1,Charged Off
15700,36 months,10.25,508.44,B,10+ years,RENT,85100,Not Verified,debt_consolidation,13.5,0,736,7.4,Fully Paid
9200,36 months,13.13,310.56,C,,RENT,43800,Source Verified,credit_card,6.53,0,691,40.4,Fully Paid
28900,36 months,13.25,977.24,C,4 years,MORTGAGE,73200,Source Verified,other,8.91,0,707,73.7,Fully Paid
24700,36 months,15.07,857.08,C,5 years,RENT,26000,Not Verified,debt_consolidation,24.25,0,695,72.9,Charged Off
4500,36 months,9.11,143.33,B,10+ years,RENT,56500,Source Verified,debt_consolidation,4.96,0,710,38.9,Fully Paid
13300,36 months,11.81,440.54,C,6 years,MORTGAGE,80000,Not Verified,credit_card,19.25,0,684,45.3,Fully Paid
17100,36 months,11.65,565.11,B,10+ years,RENT,159300,Not Verified,medical,8.46,0,707,29.5,Fully Paid
14500,36 months,6.83,446.59,A,4 years,MORTGAGE,53200,Verified,debt_consolidation,18.15,0,743,19.8,Fully Paid
17500,36 months,13.19,591.25,C,4 years,RENT,52500,Source Verified,debt_consolidation,8.9,0,704,54.1,Fully Paid
2000,60 months,12.12,44.61,C,8 years,RENT,66300,Verified,home_improvement,13.12,0,715,27.9,Fully Paid
25000,60 months,17.1,622.66,D,8 years,MORTGAGE,86900,Source Verified,debt_consolidation,3.87,0,684,27.8,Charged Off
10400,36 months,15.38,362.46,D,2 years,MORTGAGE,81200,Verified,credit_card,9.19,1,717,8.8,Fully Paid
11100,60 months,25.25,327.43,F,6 years,MORTGAGE,44900,Source Verified,debt_consolidation,18.82,1,657,84.4,Charged Off
11400,36 months,9.82,366.88,B,5 years,MORTGAGE,68800,Source Verified,credit_card,13.06,0,707,46.4,Charged Off
11000,36 months,10.45,357.27,B,10+ years,RENT,128100,Verified,debt_consolidation,24.86,0,720,52.6,Charged Off
11200,36 months,9.87,360.71,B,5 years,MORTGAGE,28800,Not Verified,credit_card,26.6,0,731,67.7,Fully Paid
40000,60 months,17.19,998.19,D,10+ years,OWN,64200,Not Verified,credit_card,26.35,0,682,76.6,Charged Off
14900,60 months,17.78,376.58,D,5 years,RENT,28000,Not Verified,debt_consolidation,26.5,0,681,43.7,Charged Off
4900,36 months,9.05,155.93,B,7 years,RENT,54200,Verified,debt_consolidation,18.06,0,705,70.7,Fully Paid
33300,36 months,6.16,1015.47,A,10+ years,RENT,130800,Not Verified,debt_consolidation,18.25,1,751,89.0,Charged Off
14000,36 months,15.38,487.92,D,10+ years,RENT,106100,Not Verified,debt_consolidation,18.75,1,703,68.2,Fully Paid
6500,36 months,10.35,210.81,B,10+ years,RENT,69000,Verified,debt_consolidation,40.2,0,714,16.7,Fully Paid
10300,36 months,15.25,358.32,D,3 years,RENT,90600,Not Verified,credit_card,30.17,1,675,53.2,Charged Off
5300,36 months,18.23,192.22,D,10+ years,RENT,116400,Source Verified,credit_card,7.19,0,686,56.1,Charged Off
9400,36 months,11.51,310.02,B,10+ years,MORTGAGE,131600,Not Verified,car,16.84,1,705,75.5,Charged Off
8600,60 months,19.98,227.75,E,6 years,MORTGAGE,149300,Verified,debt_consolidation,12.72,0,658,94.6,Charged Off
12600,36 months,9.99,406.51,B,6 years,RENT,63500,Not Verified,debt_consolidation,9.31,1,733,39.0,Fully Paid
17500,60 months,12.68,395.32,C,10+ years,RENT,100500,Source Verified,debt_consolidation,20.66,0,706,51.6,Charged Off
10000,36 months,13.51,339.4,C,10+ years,MORTGAGE,83100,Verified,credit_card,36.47,0,702,63.6,Fully Paid
8900,36 months,16.28,314.13,C,9 years,MORTGAGE,37000,Source Verified,other,19.7,0,698,41.7,Charged Off
12600,36 months,12.09,419.04,B,10+ years,MORTGAGE,65100,Not Verified,credit_card,19.89,0,714,52.1,Fully Paid
5800,36 months,12.51,194.06,B,10+ years,MORTGAGE,28200,Not Verified,home_improvement,26.2,0,703,57.9,Charged Off
5900,36 months,17.94,213.12,D,4 years,MORTGAGE,25600,Source Verified,small_business,19.25,0,694,50.7,Fully Paid
15800,60 months,9.33,330.52,B,10+ years,RENT,83900,Source Verified,debt_consolidation,46.92,0,713,53.6,Charged Off
15200,36 months,21.88,579.55,F,7 years,RENT,49400,Verified,debt_consolidation,19.6,0,652,57.0,Charged Off
15500,36 months,16.74,550.61,D,< 1 year,RENT,60300,Source Verified,debt_consolidation,23.44,0,716,67.4,Fully Paid
6500,36 months,17.26,232.58,D,< 1 year,RENT,67200,Verified,debt_consolidation,15.05,0,676,13.2,Fully Paid
11900,36 months,6.7,365.81,A,7 years,MORTGAGE,54600,Verified,credit_card,14.23,0,726,89.3,Fully Paid
20400,60 months,6.08,395.15,A,10+ years,OWN,86900,Verified,credit_card,18.37,0,746,9.6,Charged Off
14300,36 months,12.6,479.07,C,6 years,OWN,63200,Not Verified,major_purchase,24.28,1,676,55.0,Fully Paid
5000,36 months,12.93,168.3,C,2 years,MORTGAGE,40700,Not Verified,debt_consolidation,9.87,0,719,52.5,Fully Paid
15400,36 months,9.47,493.09,B,3 years,RENT,36800,Source Verified,debt_consolidation,8.94,0,711,60.9,Fully Paid
6800,36 months,21.54,258.08,E,10+ years,OTHER,166400,Source Verified,debt_consolidation,14.12,0,661,39.6,Charged Off
17500,36 months,24.65,692.56,G,10+ years,MORTGAGE,144600,Verified,debt_consolidation,14.56,0,641,57.4,Fully Paid
14100,60 months,13.24,322.55,C,1 year,RENT,84900,Not Verified,debt_consolidation,29.45,0,693,24.5,Fully Paid
11600,36 months,7.34,359.98,A,1 year,RENT,28300,Verified,credit_card,16.85,0,740,64.5,Charged Off
12800,36 months,6.07,389.81,A,1 year,MORTGAGE,70600,Source Verified,other,20.58,0,753,70.0,Fully Paid
13900,36 months,26.49,563.67,G,10+ years,MORTGAGE,24900,Verified,home_improvement,16.5,0,666,53.6,Charged Off
5100,36 months,19.33,187.8,E,7 years,RENT,79000,Not Verified,debt_consolidation,20.56,0,644,37.1,Charged Off
15900,36 months,22.21,608.96,E,10+ years,MORTGAGE,84700,Verified,debt_consolidation,7.64,1,684,79.3,Charged Off
7000,36 months,7.21,216.81,A,< 1 year,MORTGAGE,105700,Source Verified,credit_card,26.27,1,730,26.6,Charged Off
10400,36 months,13.92,355.04,C,10+ years,MORTGAGE,39700,Source Verified,home_improvement,28.07,1,694,9.2,Fully Paid
13600,36 months,13.08,458.76,C,4 years,MORTGAGE,44100,Verified,debt_consolidation,14.11,0,705,36.8,Fully Paid
12400,60 months,11.91,275.27,C,2 years,RENT,79700,Not Verified,debt_consolidation,9.06,0,694,41.6,Charged Off
13100,36 months,11.66,432.98,B,4 years,MORTGAGE,25400,Verified,debt_consolidation,15.94,0,708,15.5,Fully Paid
14000,36 months,8.37,441.1,B,3 years,MORTGAGE,58600,Not Verified,debt_consolidation,11.72,1,701,34.4,Fully Paid
35700,60 months,11.2,779.77,C,7 years,MORTGAGE,65800,Verified,debt_consolidation,43.01,0,698,38.6,Charged Off
16400,36 months,17.07,585.28,D,10+ years,MORTGAGE,96000,Source Verified,debt_consolidation,15.83,0,704,28.7,Charged Off
23200,36 months,20.88,872.63,E,10+ years,MORTGAGE,95300,Not Verified,credit_card,17.17,1,675,48.4,Fully Paid
20800,36 months,16.14,732.7,D,10+ years,OWN,41400,Source Verified,debt_consolidation,28.57,0,684,49.8,Fully Paid
12600,36 months,17.21,450.54,E,1 year,MORTGAGE,20400,Verified,debt_consolidation,12.68,0,649,56.7,Fully Paid
15200,60 months,7.54,304.87,A,7 years,MORTGAGE,125400,Source Verified,debt_consolidation,13.96,0,763,84.3,Charged Off
